batter_name,xwoba,spray xwoba,pa,diff
evan longoria,0.3398876187027325,0.3461131412805107,126.0,0.0062255225777781975
ezequiel duran,0.24076022378694026,0.27303212581906733,64.0,0.03227190203212707
franchy cordero,0.35015069932524595,0.3549839833540754,155.0,0.004833284028829432
francisco lindor,0.3233809888646269,0.32389416110906355,322.0,0.0005131722444366438
francisco mejia,0.2506646783705418,0.2618949040714485,131.0,0.011230225700906704
frank schwindel,0.29563407780829654,0.3127329898790445,243.0,0.017098912070747985
franmil reyes,0.2877602961014303,0.26861342020607404,166.0,-0.01914687589535624
freddie freeman,0.3951933863411871,0.39529340469230456,320.0,0.00010001835111744795
gabriel arias,0.1929975189217658,0.20569037292823383,8.0,0.012692854006468024
gabriel moreno,0.3231178294573772,0.34293343484691374,34.0,0.019815605389536528
garrett cooper,0.3657988919318467,0.37077973568862405,261.0,0.00498084375677732
garrett hampson,0.2581795729349111,0.25602123984927794,96.0,-0.0021583330856331795
garrett stubbs,0.34661573653989025,0.3790211975849696,52.0,0.03240546104507935
gary sanchez,0.34153091652512135,0.3500826197189184,232.0,0.008551703193797056
gavin lux,0.32368499613181834,0.3054795459940897,235.0,-0.018205450137728618
gavin sheets,0.27720439607216135,0.27614372989460106,165.0,-0.0010606661775602877
george springer,0.32196815923846217,0.33774858044394174,275.0,0.015780421205479567
geraldo perdomo,0.2998908596656917,0.3035795650222549,225.0,0.0036887053565632377
giancarlo stanton,0.3994777959527251,0.4090213415937476,249.0,0.0095435456410225
gilberto celestino,0.28374620459296557,0.2879134075997225,131.0,0.0041672030067569366
gio urshela,0.32035721498430547,0.31565021351550193,256.0,-0.00470700146880354
gleyber torres,0.33839542664619876,0.33939767906674245,248.0,0.0010022524205436922
gosuke katoh,0.3321066972690039,0.33651554953410123,11.0,0.004408852265097352
grayson greiner,0.24221265643752973,0.2598434045242898,8.0,0.017630748086760045
guillermo heredia,0.2448899121792645,0.233679684743709,60.0,-0.011210227435555498
ha-seong kim,0.3028472341655858,0.30804418142670775,261.0,0.005196947261121965
hanser alberto,0.255986753230361,0.24787552930733114,71.0,-0.008111223923029875
harold castro,0.3443250454486361,0.34199336286989435,163.0,-0.0023316825787417783
harold ramirez,0.3492714501561427,0.34454084277902863,186.0,-0.00473060737711406
harrison bader,0.28276198363357924,0.2748935215450616,264.0,-0.007868462088517658
heliot ramos,0.3718271589359398,0.3927383425592737,14.0,0.020911183623333884
hoy park,0.2605252685541513,0.29002109255429576,49.0,0.029495824000144444
hunter dozier,0.3275790878116209,0.33033412037851595,258.0,0.002755032566895077
hunter renfroe,0.32842461807459317,0.3245119779126553,217.0,-0.003912640161937875
ian happ,0.3489203768973959,0.34693091208242127,284.0,-0.0019894648149746397
ildemaro vargas,0.30721648082124703,0.28104088507638125,26.0,-0.026175595744865776
isaac paredes,0.30508336875754616,0.34326150250833193,108.0,0.03817813375078577
isiah kiner-falefa,0.29592765828161055,0.2949052645224104,243.0,-0.0010223937592001575
ivan herrera,0.20700050639995435,0.22994558321509562,15.0,0.02294507681514127
j. d. davis,0.37257776255478137,0.3703482248258138,167.0,-0.0022295377289675566
j. d. martinez,0.3884176884705508,0.4036697144913117,281.0,0.015252026020760923
j. j. matijevic,0.2717679544711814,0.24397439665831375,16.0,-0.02779355781286766
j. p. crawford,0.33073940643985933,0.3234110495671492,294.0,-0.007328356872710107
j. t. realmuto,0.3103810250648354,0.3240242022927898,265.0,0.013643177227954384
jace peterson,0.2946620560024377,0.2729493578047383,190.0,-0.021712698197699443
jack mayfield,0.22888748727904465,0.23917775213151463,74.0,0.010290264852469977
jack suwinski,0.303950342287372,0.30083460584864086,193.0,-0.0031157364387311426
jackie bradley,0.2768939597602995,0.27979629982763904,226.0,0.002902340067339526
jackson frazier,0.31342242444856966,0.3040927496020576,45.0,-0.009329674846512037
jacob stallings,0.27536038617323094,0.27702216599644536,188.0,0.0016617798232144154
jake burger,0.31964295044099333,0.31407307072405005,179.0,-0.005569879716943282
jake cronenworth,0.31316374551082704,0.3079632707210368,327.0,-0.005200474789790244
jake fraley,0.2786156916701237,0.2890393514155571,48.0,0.010423659745433411
jake hager,0.2533188613765819,0.23130825366944485,51.0,-0.02201060770713703
jake marisnick,0.24660564170566282,0.2260946484471244,51.0,-0.020510993258538418
jake mccarthy,0.2931022478087212,0.27268801128777354,86.0,-0.02041423652094765
jake meyers,0.2171804667714643,0.18885030704282219,10.0,-0.028330159728642113
james mccann,0.32370989529505745,0.3099787820414815,72.0,-0.013731113253575955
jared walsh,0.3168270605149213,0.3114470113269211,280.0,-0.005380049188000224
jarred kelenic,0.24556052271857146,0.2516491331934636,96.0,0.006088610474892148
jarren duran,0.3454449507379167,0.33187288296793854,57.0,-0.013572067769978158
jason castro,0.21718638936430695,0.21383468135611916,84.0,-0.0033517080081877926
jason delay,0.27283001282960223,0.2884194484372195,3.0,0.015589435607617275
jason heyward,0.28382986661529674,0.2875610232248253,151.0,0.003731156609528552
jason krizan,0.25980204285475905,0.23258209581749378,10.0,-0.02721994703726527
jason vosler,0.3553186196997078,0.3417990309212716,57.0,-0.013519588778436176
javier baez,0.2844918440346297,0.28916228046235315,242.0,0.004670436427723468
jaylin davis,0.3003809420089034,0.26885981374638007,4.0,-0.031521128262523346
jazz chisholm,0.34430588602985784,0.3457629716083213,238.0,0.0014570855784634684
jean segura,0.31877897456562554,0.3241124545278998,176.0,0.005333479962274235
jed lowrie,0.25524966458688964,0.2617502623496758,167.0,0.006500597762786164
jeff mcneil,0.3283336393020471,0.32643037567683725,248.0,-0.0019032636252098722
jeimer candelario,0.2909327495578825,0.28343249738998816,208.0,-0.00750025216789435
jerar encarnacion,0.3644583268524083,0.3766981076297711,8.0,0.012239780777362763
jeremy pena,0.32898825588003605,0.33609833867043315,214.0,0.007110082790397099
jermaine palacios,0.28826936154869515,0.2753281514407231,28.0,-0.012941210107972057
jesse winker,0.36698077640493115,0.36366324885519646,305.0,-0.003317527549734689
jesus aguilar,0.31067728967599323,0.31889917313824845,266.0,0.00822188346225522
jesus sanchez,0.2912552419710612,0.2990000504644778,224.0,0.007744808493416633
jeter downs,0.038628811652850675,0.03137419139105607,4.0,-0.007254620261794603
ji-man choi,0.3618419474405838,0.3630268621196454,196.0,0.0011849146790616216
jo adell,0.30987937754565337,0.3000187754264086,87.0,-0.009860602119244777
joc pederson,0.40360370871424833,0.3896574308358753,209.0,-0.013946277878373048
joe dunand,0.21404019028238536,0.2925568665760782,11.0,0.07851667629369286
joey bart,0.29104014572101106,0.2910315614021397,107.0,-8.584318871351915e-06
joey gallo,0.3280213873719426,0.3324727261679707,210.0,0.004451338796028104
joey votto,0.3392880921681605,0.3351001329057597,222.0,-0.004187959262400842
joey wendle,0.3097675863597669,0.3079894529478633,96.0,-0.0017781334119036374
johan camargo,0.2744858234136556,0.2773109419226192,153.0,0.0028251185089635533
jon berti,0.3221057131977581,0.3224918919888248,167.0,0.0003861787910666714
jonah bride,0.30126755364388863,0.27761245718340316,44.0,-0.02365509646048547
jonah heim,0.2938024385252762,0.30439595855017254,193.0,0.01059352002489633
jonathan aranda,,,,
jonathan arauz,0.27279334422070634,0.25147449403486016,24.0,-0.021318850185846172
jonathan davis,0.3226775023327032,0.30503236500435693,21.0,-0.017645137328346272
jonathan india,0.2614724879380455,0.2564711906908534,90.0,-0.005001297247192116
jonathan schoop,0.2844444256173623,0.2821071890468325,269.0,-0.002337236570529755
jonathan villar,0.2637732690438253,0.2611949180379101,162.0,-0.0025783510059151915
jordan luplow,0.28591433892609786,0.2996066405522635,128.0,0.013692301626165637
jorge alfaro,0.32764860036154125,0.32760285338266015,150.0,-4.5746978881100464e-05
jorge mateo,0.2748043786068474,0.2703764565539349,246.0,-0.004427922052912536
jorge polanco,0.36734602166576746,0.3591406249015588,250.0,-0.008205396764208672
jorge soler,0.3284874583522743,0.3321195445048425,283.0,0.0036320861525682147
jose altuve,0.356142618144341,0.37474594383294335,249.0,0.018603325688602346
jose azocar,0.2724862818640952,0.2770575705244672,111.0,0.0045712886603720415
jose godoy,0.32512897449295336,0.32314217162404363,5.0,-0.0019868028689097317
jose herrera,0.1901716601921484,0.1830818526963455,90.0,-0.007089807495802902
jose miranda,0.2681901226747835,0.27700799644484897,138.0,0.008817873770065487
jose ramirez,0.34611664401756026,0.3605799631568839,287.0,0.014463319139323638
jose rojas,0.20538620963504073,0.2054822817672642,23.0,9.607213222348476e-05
jose siri,0.2679375426502849,0.2739182913091273,141.0,0.005980748658842405
jose trevino,0.32024489245079396,0.3150708509802933,136.0,-0.0051740414705006565
josh bell,0.3678669691011586,0.36784202224803186,309.0,-2.4946853126761592e-05
josh donaldson,0.34207330371327976,0.3619269297892943,235.0,0.01985362607601454
josh harrison,0.2963125740652584,0.2904587724663821,168.0,-0.005853801598876329
josh lowe,0.2626477558614032,0.24910681979870714,95.0,-0.013540936062696074
josh naylor,0.34263653088250645,0.34030230931216504,191.0,-0.0023342215703414104
josh rojas,0.28227525138896237,0.26691995216803904,175.0,-0.015355299220923324
josh smith,0.46175427613274467,0.43009797325740456,33.0,-0.0316563028753401
josh vanmeter,0.29162990031919883,0.26517810434314326,111.0,-0.02645179597605557
josé abreu,0.4057194680659752,0.3889487817298091,306.0,-0.016770686336166074
josé iglesias,0.3108349220060605,0.3149916435713901,232.0,0.004156721565329591
jt riddle,0.14821304385038497,0.13925612692115197,4.0,-0.008956916929233005
juan lagares,0.24844761418029374,0.23850754060294718,62.0,-0.009940073577346553
juan soto,0.40310898336323897,0.39855836100418873,322.0,-0.004550622359050238
juan yepez,0.3108917124294189,0.3273376607128852,170.0,0.01644594828346635
julio rodriguez,0.30181370667642016,0.3080242468421363,302.0,0.00621054016571615
jurickson profar,0.335207407027319,0.342897065191327,321.0,0.0076896581640080175
justin turner,0.3140862905751735,0.30633382852006263,280.0,-0.007752462055110876
justin upton,0.22650656951893686,0.23482259296113972,36.0,0.008316023442202863
ka'ai tom,,,,
ke'bryan hayes,0.32932039943466473,0.3279181933984676,275.0,-0.0014022060361971178
keibert ruiz,0.35686025744739175,0.3436071401556521,230.0,-0.013253117291739669
kelvin gutierrez,0.30234282087018954,0.286604719938981,32.0,-0.015738100931208532
keston hiura,0.30943928937814136,0.29760465174180406,118.0,-0.011834637636337297
ketel marte,0.3127900770316679,0.3283623449057029,265.0,0.015572267874034984
kevin kiermaier,0.3021441929600927,0.2914860968021954,189.0,-0.010658096157897312
kevin newman,0.29873573401113035,0.3181547557516948,52.0,0.019419021740564424
kevin padlo,0.2075029177856983,0.18180097383008798,22.0,-0.025701943955610318
kevin pillar,0.27456119585488586,0.2497863314474375,13.0,-0.02477486440744836
kevin plawecki,0.2827226547125433,0.28556095473172677,83.0,0.0028383000191834484
kevin smith,0.24832804785679433,0.24894898442236604,150.0,0.000620936565571717
khalil lee,,,,
kody clemens,0.2256633315358043,0.24201556524891876,41.0,0.01635223371311445
kole calhoun,0.34051177983650127,0.33674207391588395,244.0,-0.0037697059206173167
kolten wong,0.2980122693877324,0.30504517603510106,208.0,0.007032906647368664
kramer robertson,,,,
kris bryant,0.2724448115664387,0.28213308174009477,77.0,0.009688270173656088
kurt suzuki,0.28880102997353657,0.28423709129208213,84.0,-0.004563938681454438
kyle farmer,0.34561194913531884,0.35497485405826135,246.0,0.009362904922942505
kyle garlick,0.41099039151826455,0.42450532045038103,73.0,0.013514928932116477
kyle higashioka,0.31204112238219694,0.28611835294288407,122.0,-0.025922769439312876
kyle isbel,0.27747555418043224,0.2998705232113604,102.0,0.022394969030928136
kyle lewis,0.44246557279003973,0.4530140030633218,16.0,0.010548430273282061
kyle schwarber,0.3937431763023503,0.3767768158995841,313.0,-0.016966360402766167
kyle stowers,0.2432428069203117,0.2271050019422559,8.0,-0.01613780497805578
kyle tucker,0.393117070038294,0.38224137079989623,270.0,-0.010875699238397762
lamonte wade,0.4269438830536572,0.40336149594544224,32.0,-0.023582387108214975
lane thomas,0.2907695924081917,0.2917972386188024,229.0,0.0010276462106106887
lars nootbaar,0.2517352721483169,0.24816242186744267,72.0,-0.003572850280874257
lenyn sosa,0.21632950787828636,0.2138279690321963,13.0,-0.0025015388460900567
leody taveras,0.2484709338070873,0.2530046170163224,36.0,0.004533683209235084
leury garcia,0.2586555338287401,0.24016101543633941,182.0,-0.01849451839240071
lewin diaz,0.2090243496104594,0.23190941345067237,10.0,0.022885063840212966
liover peguero,0.2924032860745206,0.3129832734393302,4.0,0.020579987364809593
lorenzo cain,0.23224645689633716,0.24232300067732468,156.0,0.010076543780987518
lourdes gurriel,0.32786388858203097,0.3282861054161567,258.0,0.00042221683412574373
lucius fox,0.1957474850288225,0.20061439179471524,28.0,0.004866906765892742
luis arraez,0.36867551201867865,0.3721356533891784,265.0,0.0034601413704997697
luis barrera,0.2619449503422949,0.2838734897191332,85.0,0.021928539376838252
luis campusano,0.23018095096170238,0.20488678302897426,13.0,-0.025294167932728123
